('ABEO', '2.6700')
('ABIO', '4.7600')
('ABUS', '4.2900')
('ACER', '4.0500')
('ACIU', '6.82')
('ACOR', '7.36')
('ACRX', '2.3500')
('ACTG', '7.16')
('ADAP', '6.26')
('ADMA', '2.6300')
('ADMP', '1.3000')
('ADMS', '6.00')
('ADTX', '3.4500')
('AEZS', '1.1800')
('AFMD', '5.99')
('AGEN', '5.18')
('AGFS', '2.2800')
('AGLE', '7.72')
('AGRX', '3.0000')
('AGTC', '5.35')
('AKBA', '4.57')
('ALSK', '3.2800')
('ALTO', '7.90')
('AMRN', '8.50')
('AMTX', '7.59')
('ANTE', '3.5000')
('APTO', '4.5400')
('APTX', '3.9700')
('AQB', '9.78')
('AQMS', '6.08')
('AQST', '6.20')
('ARDX', '7.31')
('ARLP', '6.31')
('ASMB', '6.28')
('ASRT', '0.8797')
('ASRV', '3.8600')
('ASUR', '9.15')
('ASYS', '7.96')
('ATAX', '4.6000')
('ATHX', '2.7500')
('ATOS', '4.0000')
('ATRS', '4.7400')
('AUTO', '3.3200')
('AVCT', '8.37')
('AVDL', '8.95')
('AVEO', '9.25')
('AWH', '8.09')
('AWRE', '4.99')
('AXAS', '3.6250')
('AYRO', '7.35')
('BCLI', '7.32')
('BCRX', '9.99')
('BDSI', '4.1900')
('BGCP', '4.0795')
('BIOC', '7.38')
('BKCC', '3.4000')
('BKEP', '2.0900')
('BMRA', '7.63')
('BRY', '4.3600')
('BSGM', '5.09')
('BSQR', '4.26')
('BXRX', '1.7700')
('CAAS', '6.77')
('CALA', '3.1900')
('CAN', '6.91')
('CAPR', '6.89')
('CASA', '8.34')
('CATB', '3.3100')
('CBAT', '7.78')
('CBAY', '6.09')
('CBIO', '5.95')
('CCLP', '1.6900')
('CCRN', '9.43')
('CDEV', '3.4500')
('CDTX', '2.5500')
('CDXC', '5.27')
('CECE', '7.19')
('CEMI', '7.77')
('CERC', '3.4300')
('CERS', '7.65')
('CFRX', '5.19')
('CHMA', '4.4653')
('CLBS', '2.2700')
('CLIR', '4.5300')
('CLMT', '3.9000')
('CLSD', '3.4700')
('CLSN', '1.9300')
('CLVS', '9.35')
('CMRX', '9.95')
('CNCE', '6.99')
('CNDT', '5.20')
('CNET', '2.9400')
('CNSL', '5.96')
('CNTY', '8.63')
('CPLP', '9.92')
('CPRX', '4.4200')
('CPSS', '4.2300')
('CRBP', '2.6400')
('CRESY', '5.12')
('CRNT', '4.83')
('CRVS', '4.1000')
('CRWS', '8.00')
('CTG', '6.67')
('CTIC', '3.9400')
('CTMX', '8.25')
('CVGI', '9.32')
('CXDC', '1.1400')
('CYCN', '4.5200')
('DAKT', '5.28')
('DBVT', '5.91')
('DGLY', '2.7100')
('DHC', '4.4600')
('DRRX', '2.5300')
('DSKE', '5.65')
('DTEA', '5.0200')
('DVAX', '9.73')
('DXYN', '4.4000')
('DYAI', '6.06')
('EDAP', '8.64')
('EIGI', '9.48')
('EMKR', '6.17')
('ENDP', '8.95')
('ENG', '7.25')
('EOLS', '6.99')
('EVFM', '3.4800')
('EVGN', '8.32')
('EVOK', '3.0500')
('EXTR', '9.35')
('EYEN', '6.54')
('EZPW', '5.20')
('FCRD', '3.8200')
('FENC', '8.19')
('FLDM', '7.16')
('FLMN', '3.7400')
('FLNT', '7.15')
('FNHC', '6.25')
('FRBK', '3.3500')
('FRSX', '9.25')
