('AAIC', '3.7000')
('ABEV', '2.9400')
('ACCO', '8.95')
('ACH', '8.11')
('ADT', '9.38')
('AEG', '4.3200')
('AENZ', '2.4100')
('AFI', '4.4900')
('AGI', '7.98')
('AGRO', '8.02')
('AGS', '6.21')
('AHC', '2.4500')
('AHT', '3.0000')
('AIV', '4.8700')
('ALTG', '9.97')
('AM', '8.01')
('AMC', '7.17')
('AMPY', '2.6100')
('AMRX', '5.17')
('ANH', '2.6800')
('AOD', '9.28')
('AP', '7.52')
('APTS', '7.67')
('AR', '7.42')
('ARC', '2.1900')
('ARCO', '5.38')
('ARL', '9.44')
('ARLO', '8.52')
('AROC', '9.51')
('ASC', '3.6000')
('ASG', '9.23')
('ASX', '7.60')
('AT', '2.9800')
('AUY', '4.7900')
('AVAL', '6.70')
('AWP', '5.51')
('AXL', '9.83')
('AXR', '9.02')
('BBAR', '2.9500')
('BBD', '4.8600')
('BBDC', '9.15')
('BBDO', '4.2300')
('BBVA', '5.29')
('BBW', '5.25')
('BCS', '8.07')
('BCX', '8.32')
('BDJ', '8.64')
('BEDU', '6.64')
('BEST', '2.5000')
('BGIO', '9.15')
('BGR', '7.69')
('BGY', '5.95')
('BHR', '5.40')
('BKD', '5.50')
('BKT', '6.17')
('BNED', '6.91')
('BORR', '0.9960')
('BPT', '3.5900')
('BRFS', '4.2000')
('BSBR', '7.72')
('BSM', '9.73')
('BSMX', '5.20')
('BTU', '3.8000')
('BUR', '8.43')
('BW', '6.37')
('BXG', '7.85')
('CAAP', '4.1000')
('CCM', '4.5000')
('CCO', '1.9400')
('CDE', '9.19')
('CEIX', '9.39')
('CEL', '3.6600')
('CELP', '2.9300')
('CEPU', '2.3900')
('CGA', '5.65')
('CHMI', '9.33')
('CHRA', '3.7000')
('CHS', '2.3400')
('CHU', '5.45')
('CIA', '5.81')
('CIF', '2.5200')
('CIG', '2.6500')
('CLNC', '8.50')
('CLNY', '5.39')
('CLPR', '7.42')
('CLS', '9.00')
('CMCM', '4.2300')
('CMO', '5.69')
('CMRE', '8.55')
('CMU', '4.4900')
('CNF', '3.4300')
('CO', '4.1300')
('COTY', '7.05')
('CPAC', '8.09')
('CPG', '3.1900')
('CPLG', '7.82')
('CRK', '5.0000')
('CRT', '8.15')
('CSLT', '1.8300')
('CSPR', '8.00')
('CTK', '3.4600')
('CVE', '6.43')
('CX', '6.43')
('CXE', '5.03')
('CXH', '9.95')
('CXW', '7.29')
('CYH', '9.32')
('DCF', '8.89')
('DDF', '9.60')
('DEX', '9.68')
('DHF', '3.0000')
('DHT', '5.70')
('DHX', '2.5100')
('DL', '9.63')
('DLNG', '2.8500')
('DNK', '3.0600')
('DNOW', '9.76')
('DRH', '9.01')
('DS', '2.4400')
('DSE', '6.35')
('DSM', '7.92')
('DSSI', '7.48')
('DSX', '2.6400')
('DVD', '2.1400')
('EBR', '5.79')
('EDD', '6.15')
('EDF', '8.49')
('EDI', '9.35')
('EDN', '3.7000')
('EEX', '4.8300')
('EFL', '9.29')
('EGY', '2.9700')
('EHT', '9.79')
('ELVT', '4.4000')
('ENBL', '5.75')
('ENIA', '7.65')
('ENIC', '3.8700')
('ENLC', '4.1700')
('ENZ', '3.3300')
('EOD', '5.08')
('EQS', '1.8802')
('ERF', '3.7800')
('ERJ', '7.06')
('ESGC', '2.1000')
('ESRT', '9.90')
('ESTE', '6.09')
('ET', '6.70')
('ETM', '5.06')
('ETRN', '7.08')
('ETW', '9.80')
('EURN', '8.31')
('EVC', '3.2400')
('EVF', '6.62')
('EXG', '8.96')
('EXK', '4.9300')
('EXPR', '3.2700')
('EXTN', '4.8600')
('FBP', '9.87')
('FEDU', '1.8500')
('FEI', '6.31')
('FENG', '1.4700')
('FGB', '3.5861')
('FI', '3.2400')
('FINV', '4.1100')
('FIT', '6.99')
('FIV', '9.24')
('FLNG', '8.30')
('FMO', '7.95')
('FPH', '6.75')
('FPL', '4.7800')
('FRO', '6.49')
('FSM', '7.48')
('FT', '7.46')
('FTK', '2.1100')
('GAB', '6.43')
('GCI', '4.7500')
('GCV', '6.61')
('GDL', '8.98')
('GEL', '6.42')
('GEN', '0.7549')
('GEO', '8.68')
('GER', '8.65')
('GFI', '9.14')
('GGB', '4.3200')
('GGT', '8.70')
('GIM', '5.61')
('GLOG', '4.5000')
('GLOP', '3.4500')
('GNE', '7.88')
